name,sex,total
פאיזה,F,1431
סובחי,M,1425
לור,F,1424
מיכה,M,1421
גוד,M,1420
ולנטינה,F,1420
זהבית,F,1419
יזיד,M,1417
מאסה,F,1415
זינאידה,F,1411
גור,M,1411
מתנאל,M,1409
למיס,F,1408
עדה,F,1407
תייסיר,M,1407
זוהיר,M,1407
יקותיאל,M,1406
סאוסן,F,1406
מתניה,M,1401
מנוחה,F,1398
טומי,M,1396
נדיה,F,1395
חננאל,M,1393
פאתנה,F,1388
הלנה,F,1385
בטי,F,1385
מועתסם,M,1384
ראידה,F,1383
סטיבן,M,1381
אוקסנה,F,1376
אלקנה,M,1375
רוואן,F,1374
אביגדור,M,1374
שמרית,F,1374
סלוא,F,1369
ראזי,M,1363
סארי,M,1363
בת חן,F,1360
בניהו,M,1350
חביבה,F,1348
ג'סיקה,F,1344
סולטאן,M,1343
זכריה,M,1341
ליז,F,1338
טאהא,M,1336
ותין,F,1334
גבע,M,1332
שולה,F,1331
לירן,F,1328
אווס,M,1326
ח'דר,M,1323
אורון,M,1320
פזית,F,1320
ג'וליה,F,1319
סמאהר,F,1318
ארין,F,1315
סלמה,F,1313
זויה,F,1313
בסמה,F,1312
ז'אנה,F,1312
דור,F,1311
נגם,F,1309
מילי,F,1308
חופית,F,1299
אורנית,F,1299
סאהר,M,1298
סומיה,F,1294
סמואל,M,1293
ניקולאי,M,1293
לייה,F,1292
יוטא,F,1289
רזיאל,M,1287
ראני,M,1286
אילי,M,1285
רנדה,F,1284
סיראג',M,1281
נבילה,F,1280
אליעד,M,1279
מילנה,F,1275
טוהר,M,1274
מסק,F,1274
חלימה,F,1273
סבאח,F,1272
עזריאל,M,1270
גבי,M,1266
חיאת,F,1263
דוחא,F,1263
פערל,F,1262
לאורה,F,1261
סוג'וד,F,1257
תום,F,1254
תרצה,F,1253
ולאא,F,1252
רסמיה,F,1249
נאיפה,F,1246
רביד,M,1242
דיאא,M,1240
ויקי,F,1236
עזיזה,F,1235
נאי,F,1235
האשם,M,1234
אדיב,M,1232
נעימה,F,1230
פהד,M,1230
חלי,F,1229
אודי,M,1224
ג'ני,F,1223
מקס,M,1222
מאזן,M,1216
בדר,M,1213
איאן,M,1206
אסמהאן,F,1205
הנד,F,1199
מוניקה,F,1197
ראפת,M,1196
מועאד',M,1193
אסתי,F,1188
דורה,F,1186
גיורא,M,1186
דורון,F,1185
שרגא,M,1184
רענן,M,1184
עיד,M,1179
אנט,F,1178
שייה,F,1178
יקין,F,1177
אופירה,F,1177
אביהו,M,1177
הוד,M,1176
סדין,F,1172
בשיר,M,1164
אורן,F,1163
חנא,M,1162
לורה,F,1162
איב,F,1159
פז,F,1159
ישראלה,F,1158
ליעד,F,1158
אפיק,M,1158
אלישיב,M,1155
עדיה,F,1154
סובחיה,F,1153
נדים,M,1151
עירן,M,1144
תהאני,F,1142
כאמלה,F,1141
ודאד,F,1139
טניה,F,1135
אריאה,F,1135
סוזי,F,1135
ליא,F,1130
ברי,M,1128
אלכס,F,1128
תהלה,F,1125
אופל,F,1123
מונד'ר,M,1122
הנרי,M,1117
בראאה,M,1115
סטפני,F,1114
רעי,M,1114
איזבלה,F,1112
סולומון,M,1112
מואייד,M,1110
יניר,M,1109
סמיח,M,1109
מאמון,M,1107
אבלין,F,1104
רוסלן,M,1103
תיא,F,1099
